full_name,name,owner.login,owner.type,created_at,description,forks_count,stargazers_count,watchers_count,has_downloads,has_pages,has_issues,has_wiki
Bioconductor-mirror/lapmix,lapmix,Bioconductor-mirror,Organization,2015-03-27T16:47:30Z,,0,0,0,False,False,False,False
muuankarski/regioncoderus,regioncoderus,muuankarski,User,2015-01-02T19:14:47Z,,0,0,0,True,False,True,True
leeper/colourlovers,colourlovers,leeper,User,2014-01-24T22:32:08Z,R client for the COLOURlovers API,0,22,22,True,False,True,False
Bioconductor-mirror/DrugVsDisease,DrugVsDisease,Bioconductor-mirror,Organization,2015-03-27T13:17:04Z,,0,0,0,False,False,False,False
mbannert/panelaggregation,panelaggregation,mbannert,User,2014-09-10T17:32:46Z,R Package to aggregate Panel Data,0,0,0,True,False,True,True
krlmlr/kimisc,kimisc,krlmlr,User,2013-01-24T14:48:17Z,Kirill's miscellaneous functions,0,0,0,True,True,True,True
cran/rockchalk,rockchalk,cran,Organization,2014-03-13T06:09:53Z,Regression Estimation and Presentation,0,0,0,True,False,False,False
Jamamel/mira,mira,Jamamel,User,2015-04-23T21:52:35Z,"mira, no es mi opinión",0,0,0,True,False,True,True
mkoohafkan/kfigr,kfigr,mkoohafkan,User,2014-06-18T06:17:45Z,A streamlined cross-referencing package designed specifically for use with knitr.,3,15,15,True,False,True,True
cenka/acpackage,acpackage,cenka,User,2015-01-28T18:18:40Z,ADSAR project,0,0,0,True,False,True,True
skranz/restorepoint,restorepoint,skranz,User,2013-02-03T15:59:24Z,Debugging in R with restore points,0,4,4,True,False,True,True
pezzacolori/boris-r-misc,boris-r-misc,pezzacolori,User,2013-02-03T19:28:32Z,miscellaneous r code,0,0,0,True,False,True,True
baptiste/cda,cda,baptiste,User,2012-01-08T07:34:20Z,Coupled Dipole Approximation,0,2,2,True,False,True,True
hgstp/cogarchfmlyr,cogarchfmlyr,hgstp,User,2015-02-09T12:54:24Z,R package for the COGARCH family,0,0,0,True,False,True,True
cran/GUILDS,GUILDS,cran,Organization,2014-09-05T00:44:22Z,Implementation of sampling formulas for the unified neutral,0,0,0,True,False,False,False
Bioconductor-mirror/eisa,eisa,Bioconductor-mirror,Organization,2015-03-27T15:42:44Z,,0,0,0,False,False,False,False
